BERTopic Modeling Results
=====================
Topic 1: happen, want, love, make, day, clamp, time, art, relationship, think
Topic 2: collection, tumblr, write, fic, drabble, askbox, world, request, inspire, oneshot
Topic 3: character, story, hero, time, friend, decide, make, world, work, appear
Topic 4: look, know, make, story, try, girl, want, think, way, head
Topic 5: life, know, love, want, world, story, time, come, think, make
Topic 6: know, life, want, make, year, school, time, love, eye, hope
Topic 7: story, drabble, come, meet, love, bring, man, base, character, manga
Topic 8: love, come, end, time, life, make, world, fall, happen, know
Topic 9: world, year, know, make, life, time, hero, power, come, fight
Topic 10: make, try, think, time, help, turn, say, day, want, ask
Topic 11: story, girl, love, anime, life, want, read, know, year, boy
Topic 12: know, want, make, leave, help, come, time, hate, like, let
Topic 13: love, want, know, make, life, time, say, friend, day, feel
Topic 14: write, chapter, story, time, post, want, character, work, think, follow
Topic 15: love, make, femboy, master, way, sora, girl, time, life, confess
Topic 16: anime, bar, open, oneshot, manga, enjoy, fantasy, league, visit, girl
Topic 17: world, life, meet, time, save, come, sonic, fall, way, help
Topic 18: contestant, season, pick, time, chris, come, team, history, winner, join
Topic 19: time, know, love, year, way, come, say, try, life, day
Topic 20: character, request, world, write, friend, server, idea, content, create, story
Topic 21: time, make, year, life, work, love, chapter, day, story, know
Topic 22: make, girl, decide, start, feel, relationship, help, school, friend, family
Topic 23: time, write, think, draw, know, happen, come, tell, hand, police
Topic 24: world, know, life, force, threat, leave, love, face, time, shadow
Topic 25: world, love, life, come, end, make, time, live, fate, happen
Topic 26: story, chapter, fandom, series, collection, character, work, place, book, fic
Topic 27: story, world, character, game, anime, series, live, hero, life, set
Topic 28: know, year, make, want, time, decide, friend, akira, story, ryo
Topic 29: life, know, world, time, story, love, want, year, way, make
Topic 30: time, want, know, story, need, like, day, try, love, night
Topic 31: meet, challenge, night, fight, event, fall, end, make, day, wednesday
Topic 32: want, hand, say, look, eye, know, think, time, make, feel
Topic 33: anime, story, use, world, peach, creator, wedding, email, love, make
Topic 34: series, story, year, character, burn, event, man, askbox, run, manga
Topic 35: day, love, man, think, come, begin, legend, believe, make, life
Topic 36: world, life, know, make, help, time, want, love, story, come
Topic 37: time, heart, month, summer, speak, send, couple, set, need, break
Topic 38: love, story, year, life, kim, meet, know, talk, relationship, lee
Topic 39: world, life, love, bring, time, power, humanity, darkness, death, come
Topic 40: friend, school, girl, life, know, time, year, love, try, day
Topic 41: world, story, life, know, make, hero, chapter, power, help, game
Topic 42: say, know, want, feel, eye, think, way, time, look, make
Topic 43: come, make, know, world, life, love, way, want, meet, day
Topic 44: love, cat, want, school, story, game, year, use, make, time
Topic 45: write, character, oneshot, request, prompt, use, work, ask, make, include
Topic 46: know, think, life, say, make, man, love, come, want, look
Topic 47: sort, want, make, life, know, think, time, say, come, way
Topic 48: help, feeling, try, make, life, ask, spend, trouble, learn, decide
Topic 49: night, collection, story, shot, room, post, love, challenge, series, work
Topic 50: decide, year, make, time, come, change, happen, send, life, end
